,id,retweet_count,date_created,tweet,clean_tweet,topic
0,1508758968482635778,1092,2022-03-29 10:52:24+00:00,b'A 31-year-old Ugandan traditional healer living in South Africa illegally has been handed a 30-year prison term for\xe2\x80\xa6 https://t.co/KRyXDLBuhR',year ugandan traditional healer living south africa illegally handed year prison term,3
1,1508661904192913410,2275,2022-03-29 04:26:42+00:00,"b'Date mein kya rakha hai?\nMarch 29th, a very significant date in my cricketing life. Got to the first triple hundred\xe2\x80\xa6 https://t.co/c44N0Ys7M9'",date mein rakha nmarch significant date cricketing life first triple hundred,7
2,1508815292578816015,563,2022-03-29 14:36:12+00:00,"b'Moeletsi Mbeki has accused South Africa\xe2\x80\x99s ruling party, @MYANC, of collaborating with ZANUPF to destroy Zimbabwe\xe2\x80\x99s\xe2\x80\xa6 https://t.co/a6C3wsNdJ9'",moeletsi mbeki accused south africa ruling party collaborating zanupf destroy zimbabwe,1
3,1509067192888926208,9,2022-03-30 07:17:10+00:00,"b""RT @ThamiMasemola: Isuzu Motors South Africa has begun manufacturing what is currently the country's 2nd best-selling bakkie brand, D-MAX.\xe2\x80\xa6""",isuzu motors south africa begun manufacturing currently country best selling bakkie brand,4
4,1509067189827026945,0,2022-03-30 07:17:09+00:00,"b'SAFA President, ANC Dr Danny Jordaan \n\nIs destroying football in South Africa!'",safa president danny jordaan destroying football south africa,2
5,1509067166997381124,0,2022-03-30 07:17:04+00:00,"b""@GicAriana Russia's circumstances sound like that of South Africa - 30 years later - poverty and no modernisation.\xe2\x80\xa6 https://t.co/iiCpidYCpg""",russia circumstances sound like south africa years later poverty modernisation,2
6,1509067135917740034,0,2022-03-30 07:16:56+00:00,"b""'It's our sun': Rural South Africans seek greater gains from clean energy\nhttps://t.co/KFxh56RglQ\nSouth Africa plan\xe2\x80\xa6 https://t.co/uXJ9xNz4lE""",rural south africans seek greater gains clean energy africa plan,1
7,1509067135582093313,146,2022-03-30 07:16:56+00:00,"b'RT @Biophonlk: South Africa getting beaten by France 5 - 0 \nIn a nutshell \xf0\x9f\x98\xa4\xf0\x9f\x98\xa4\xf0\x9f\x98\xad\xf0\x9f\x98\xad\n.\n.\n.\n.\n.\n.\n.\nDolly ""Hugo Broos"" ""De Reuck"" ""Bafana Bafana""\xe2\x80\xa6'",south africa getting beaten france nutshell ndolly hugo broos reuck bafana bafana,5
8,1509067083677638659,0,2022-03-30 07:16:44+00:00,"b'@MsiziNgema11 @Rockas_N @54Battalion Nigerians, Zimbabwens, Botswana, Tunisia, and South Africans we are black peop\xe2\x80\xa6 https://t.co/iElJzvgOvM'",nigerians zimbabwens botswana tunisia south africans black peop,9
9,1509067082322874371,1,2022-03-30 07:16:44+00:00,b'RT @BAFTA: Nominated for Titles &amp; Graphic Identity \xe2\x9c\x8f\xef\xb8\x8f\n\n\xf0\x9f\x93\xba Lions Series: South Africa 2021\n\xf0\x9f\x93\xba All Creatures Great and Small\n\xf0\x9f\x93\xba Around The World\xe2\x80\xa6',nominated titles graphic identity lions series south africa creatures great small around world,7
10,1509067053482876928,0,2022-03-30 07:16:37+00:00,"b'The headline is severely misleading. Wow, wonders never cease in South Africa! https://t.co/w10djiU7vb'",headline severely misleading wonders never cease south africa,8
11,1509067052018855939,3,2022-03-30 07:16:36+00:00,b'RT @NZCricketMuseum: 4\xef\xb8\x8f\xe2\x83\xa3  4\xef\xb8\x8f\xe2\x83\xa3  4\xef\xb8\x8f\xe2\x83\xa3  4\xef\xb8\x8f\xe2\x83\xa3  6\xef\xb8\x8f\xe2\x83\xa3  4\xef\xb8\x8f\xe2\x83\xa3 \n\n#OnThisDay | Craig McMillan hits a record 26 runs off one over in the 2001 Test against\xe2\x80\xa6',onthisday craig mcmillan hits record runs test,1
12,1509067050894905344,53,2022-03-30 07:16:36+00:00,b'RT @TimesLIVE: Operation Dudula in Tshwane has given companies in Rosslyn 14 days to comply with their demands regarding the hiring of fore\xe2\x80\xa6',operation dudula tshwane given companies rosslyn days comply demands regarding hiring fore,9
13,1509067042653356032,3,2022-03-30 07:16:34+00:00,"b'RT @fizzy_shasta: -\xe2\x84\x9c\xf0\x9d\x94\xa2\xf0\x9d\x94\xa1 \xf0\x9d\x94\x87\xf0\x9d\x94\xa2\xf0\x9d\x94\x9e\xf0\x9d\x94\xb1\xf0\x9d\x94\xa5 \xf0\x9f\x91\xb9\xf0\x9f\x8c\x91-\nA member of 2nd platoon, special reconnaissance company prepares to debark a CH-47 alongside U.S Army troo\xe2\x80\xa6'",member platoon special reconnaissance company prepares debark alongside army troo,7
14,1509067041185140736,0,2022-03-30 07:16:34+00:00,"b'South Africa will never have a way forward so long the ANC, EFF and DA are top 3 parties claiming to liberate our people.'",south africa never forward long parties claiming liberate people,0
15,1509067034281365507,1092,2022-03-30 07:16:32+00:00,b'RT @News24: A 31-year-old Ugandan traditional healer living in South Africa illegally has been handed a 30-year prison term for defrauding\xe2\x80\xa6',year ugandan traditional healer living south africa illegally handed year prison term defrauding,3
16,1509067022071652352,24,2022-03-30 07:16:29+00:00,b'RT @Coalition2024: WHAT IS OUR GOAL?\n\nThe Coalition 2024 campaign aims for South Africa to have a brand new national coalition government a\xe2\x80\xa6',goal nthe coalition campaign aims south africa brand national coalition government,6
17,1509067006368051201,235,2022-03-30 07:16:26+00:00,"b""RT @AmritMahotsav: #DidYouKnow South Africa was to host the 2nd edition of Women's #CricketWorldCup but a boycott by the international spor\xe2\x80\xa6""",didyouknow south africa host edition women cricketworldcup boycott international spor,9
18,1509067003755220997,0,2022-03-30 07:16:25+00:00,"b""Bitch I'm from South Africa but this ain't no fucking Lion King \xf0\x9f\x94\xa5\xf0\x9f\x87\xbf\xf0\x9f\x87\xa6 https://t.co/QqKXUG7arZ""",bitch south africa fucking lion king,2
19,1509066996381540365,7,2022-03-30 07:16:23+00:00,b'RT @SaddickAdams: Remove South Africa and put Algeria there Clyde. Bafana Bafana will not even make the invitational tournament \xe2\x98\xb9',remove south africa algeria clyde bafana bafana even make invitational tournament,0
20,1508661892763435009,0,2022-03-29 04:26:39+00:00,b'Some will vote for Dem while others double down. Dems will attempt to fix it and just as soon they get it going aft\xe2\x80\xa6 https://t.co/cIIEwPb5S4',vote others double dems attempt soon going,9
21,1508661888866869249,5,2022-03-29 04:26:38+00:00,"b'RT @SuperiorZulu: You fought Boers, Apartheid, China and even the ANC but 72% of Land in South Africa remained owned by Whites (Boers).\n\nWh\xe2\x80\xa6'",fought boers apartheid china even land south africa remained owned whites boers,6
22,1508661874421907457,70,2022-03-29 04:26:35+00:00,b'RT @joburglawyer: South Africa was once a country proud of its progressive Constitution and proud of the moral high ground it held in World\xe2\x80\xa6',south africa country proud progressive constitution proud moral high ground held world,8
23,1508661842297643011,54,2022-03-29 04:26:27+00:00,b'RT @Paratus2014: Vigilantism in South Africa is a direct result of the absence of the rule of law and the failure of the SAPS to protect an\xe2\x80\xa6',vigilantism south africa direct result absence rule failure saps protect,9
24,1508661841463066632,0,2022-03-29 04:26:27+00:00,"b""@bigkoostar In South Africa Black's are called South African and Africans are called Foriegners \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82""",south africa black called south african africans called foriegners,9
25,1508661802065973251,403,2022-03-29 04:26:17+00:00,"b'RT @lasizwe: If the Oscars were in South Africa, this would be Lupita at the Oscar\xe2\x80\x99s AfterParty \n\n#Lupita #oscars https://t.co/FsOvu93IaJ'",oscars south africa would lupita oscar afterparty lupita oscars,7
26,1508661775524409344,332,2022-03-29 04:26:11+00:00,"b'RT @nickhedley: Bell Equipment says it\xe2\x80\x99ll shift its manufacturing of articulated dump trucks to the northern hemisphere, and away from Sout\xe2\x80\xa6'",bell equipment says shift manufacturing articulated dump trucks northern hemisphere away sout,4
